순번,영상길이,제목,조회수,구독자,채널명,기여도,성과도,총영상수,게시일,영상ID,썸네일파일
130,20:37,"주식 단타로 깡통차는 과정, 개미 투자자 열 명 중 일곱 명이 망하는 이유",93329,5670,"똑똑! 경제",Great,Great,122,2026.04.06,Cy_pgxHpj2Y,Cy_pgxHpj2Y.jpg
131,18:07,"읽어도 기억 안 나는 건 착각입니다 1번만 읽어도 외워지는 뇌과학 공부법 5가지",253409,13200,"널위한심리학",Great,Good,44,2026.04.06,2wBpgdePhnk,2wBpgdePhnk.jpg
132,8:47,"이케아 가기 전에 제발 꼭 보고 가세요! 보이면 무조건 사게되는 이케아 살림템 15가지!",75528,432,"살림이랑",Great,Great,29,2026.04.05,YI1RtMOtADs,YI1RtMOtADs.jpg
133,12:30,"미친 속도로 공부하는 법 (날 새지 마세요) 40배 빠른 공부법",134996,12300,"갓생메이커",Great,Good,44,2026.04.05,uCueqDriw8s,uCueqDriw8s.jpg
134,8:05,"주식에 1억 투자하면 대한민국 상위 몇%일까? (데이터 보고 충격받았습니다)",161399,13000,"차윤호 스플릿",Great,Good,102,2026.04.04,HiWkdp35UbQ,HiWkdp35UbQ.jpg
135,11:48,"함께 자는 반려견의 심리 (반려견이 당신에게 전하는 메세지)",1087596,10100,"실천 심리학",Great,Good,28,2026.04.04,46yJzSIvU1E,46yJzSIvU1E.jpg
136,10:21,"이게 어떻게 전기자전거죠? 무조건 사세요 추천! [세파스 리액트 T7 트라이폴드 전기자전거]",63357,7000,"자전거 브라더스",Great,Great,243,2026.04.04,cw1klOMrhac,cw1klOMrhac.jpg
137,23:32,"혼자 있는 게 더 편한 사람 외향인도 내향인도 아닌 '이 유형' 입니다 ㅣ Ep. 책과사람 70 (김경일 교수님 1부)",1093015,1070000,"책과삶",Great,Good,649,2026.04.03,3aKqWJ4hu24,3aKqWJ4hu24.jpg
138,24:58,"제주 여행🌴 혼밥 가능한 밥집 + 카페 20곳 | 혼자라도 꼭 가보고 싶은 꿀맛 모음!🔥",97666,9140,"아임지니 Jini Pass",Great,Great,86,2026.04.02,rG22Yr2lcvo,rG22Yr2lcvo.jpg
139,14:28,"5대 은행원도 모르는 주택담보대출 잘 받는 방법 (부동산이 소개해준 대출상담사 믿어도 될까 ?)",79756,8960,"삶은, 부동산_내집마련으로 투자까지",Great,Great,75,2026.04.01,INXxVOOuYWw,INXxVOOuYWw.jpg
140,18:17,"AI 잘쓰는 사람들이 요즘 클로드 스킬에 미쳐있는 이유 | 클로드 쓴다면 무조건 이 기능 쓰셔야합니다 (200% 활용법 전부 공개)",257547,26700,"긍정필터",Great,Good,20,2026.04.01,REyKGV6Hkjs,REyKGV6Hkjs.jpg
141,33:55,"목에 칼이 들어와도 절대 말하면 안 됩니다 | 자식에게도 숨겨야 할 3가지 | 김형석 교수",493181,8760,"100년의 통찰",Great,Great,94,2026.03.30,gf9s9B55IpA,gf9s9B55IpA.jpg
142,6:38,"혈당 조절에 좋다는 바나바잎, 다이소 건기식은 효과가 있을 지 직접 먹어봤습니다. | 당뇨인의 다이소 혈당케어 제품 리뷰",154431,34700,"당뇨 극복하기 : 혈당연구소",Great,Good,102,2026.03.29,nQnDcxukeGE,nQnDcxukeGE.jpg
143,20:11,"[충격] 제임스 웹이 증명했습니다: 빅뱅은 '가짜'였다",146808,1660,"우주거미줄",Great,Great,43,2026.03.29,ztsyMsdFPUg,ztsyMsdFPUg.jpg
